run_id,rep,load_prices_sec,align_weights_sec,compute_metrics_sec,total_sec,io_read_mb,cpu_mean_pct,cpu_peak_pct,rss_peak_mb,cache_dropped,implementation,storage_format,portfolio_scale,phase
2b035850-7d1d-4446-98db-111315f84d26,2,0.00361,0.000314,0.001084,0.005007999999999999,0.0,21.4,21.4,728.2,False,julia_loopvec,parquet_wide_uncompressed,1000,2_storage_opt
2b035850-7d1d-4446-98db-111315f84d26,3,0.003599,0.000284,0.001073,0.004956,0.0,28.6,28.6,728.7,False,julia_loopvec,parquet_wide_uncompressed,1000,2_storage_opt
2b035850-7d1d-4446-98db-111315f84d26,4,0.003321,0.000315,0.001293,0.004929,0.0,28.6,28.6,729.1,False,julia_loopvec,parquet_wide_uncompressed,1000,2_storage_opt
2c98d015-8b6c-4c91-8881-3f2440877bbf,0,0.005236,0.043154,2.007268,2.0556579999999998,0.0,77.2,100.0,4281.7,False,java_vector_api,parquet_wide_uncompressed,1000000,2_storage_opt
2c98d015-8b6c-4c91-8881-3f2440877bbf,1,0.005105,0.042879,2.046754,2.094738,0.0,76.7,100.0,5065.0,False,java_vector_api,parquet_wide_uncompressed,1000000,2_storage_opt
2c98d015-8b6c-4c91-8881-3f2440877bbf,2,0.004163,0.042969,2.052593,2.099725,0.0,76.5,100.0,5847.9,False,java_vector_api,parquet_wide_uncompressed,1000000,2_storage_opt
2c98d015-8b6c-4c91-8881-3f2440877bbf,3,0.00507,0.043187,2.05153,2.099787,0.0,76.7,100.0,6630.5,False,java_vector_api,parquet_wide_uncompressed,1000000,2_storage_opt
2c98d015-8b6c-4c91-8881-3f2440877bbf,4,0.004337,0.043777,2.053057,2.101171,0.0,76.6,100.0,7413.3,False,java_vector_api,parquet_wide_uncompressed,1000000,2_storage_opt
2f958ffa-9816-49bf-bd2f-36fce7bff282,0,0.004084,0.0046,0.557398,0.566082,0.0,28.2,100.0,3127.6,False,numpy_vectorised,parquet_wide_zstd,100000,2_storage_opt
2f958ffa-9816-49bf-bd2f-36fce7bff282,1,0.004348,0.00455,0.562592,0.5714899999999999,0.0,29.4,100.0,3127.6,False,numpy_vectorised,parquet_wide_zstd,100000,2_storage_opt
2f958ffa-9816-49bf-bd2f-36fce7bff282,2,0.004446,0.004634,0.562146,0.571226,0.0,28.9,100.0,3127.7,False,numpy_vectorised,parquet_wide_zstd,100000,2_storage_opt
2f958ffa-9816-49bf-bd2f-36fce7bff282,3,0.004128,0.004661,0.594721,0.6035100000000001,0.0,27.3,100.0,3128.2,False,numpy_vectorised,parquet_wide_zstd,100000,2_storage_opt
2f958ffa-9816-49bf-bd2f-36fce7bff282,4,0.003954,0.004679,0.563375,0.572008,0.0,28.5,100.0,3128.3,False,numpy_vectorised,parquet_wide_zstd,100000,2_storage_opt
36bddd20-6d79-4183-a7ed-86f1e96c52bc,0,0.004891,0.043331,5.668205,5.716427,0.0,17.5,100.0,21983.2,False,numpy_vectorised,parquet_wide_snappy,1000000,2_storage_opt
36bddd20-6d79-4183-a7ed-86f1e96c52bc,1,0.004702,0.043342,5.628031,5.676075,0.0,17.5,100.0,21990.1,False,numpy_vectorised,parquet_wide_snappy,1000000,2_storage_opt
36bddd20-6d79-4183-a7ed-86f1e96c52bc,2,0.003839,0.043227,5.685425,5.7324910000000004,0.0,17.5,100.0,21990.4,False,numpy_vectorised,parquet_wide_snappy,1000000,2_storage_opt
36bddd20-6d79-4183-a7ed-86f1e96c52bc,3,0.004508,0.043437,5.634268,5.682213,0.0,17.3,100.0,21990.8,False,numpy_vectorised,parquet_wide_snappy,1000000,2_storage_opt
