run_id,config_fingerprint,superseded,json_path,ingested_at,timestamp,phase,implementation,language,storage_format,portfolio_scale,portfolio_k,universe_size,seed,repetitions,warmup,drop_cache_attempted,cpu_model,cpu_logical_cores,cpu_physical_cores,ram_gb,gpu_model,python_version,numpy_version,pyarrow_version,numba_version,blas_implementation,git_sha,omp_num_threads,numba_num_threads,median_total_sec,p10_total_sec,p90_total_sec,median_load_sec,median_compute_sec,throughput,peak_ram_mb,mean_io_read_mb,mean_cpu_pct,peak_cpu_pct,result_checksum,notes
0592fe58-ddb5-479e-87fa-cb86a0346865,68d9c89a69ed2de8b631f88c1ff0e2b32bd886dcaf987b408d85529ec74bf4e1,False,/home/rjdscott/Documents/projects/portfolio-simulator/results/0592fe58-ddb5-479e-87fa-cb86a0346865.json,2026-02-20 03:53:45.163079,2026-02-20 03:09:56.251225,2_storage_opt,fortran_openmp,fortran,parquet_wide_uncompressed,100,15,100,42,5,True,False,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,0.64.0,,8d5314a,,,0.004874,0.004255,0.006147,0.004344,0.000264,20517.03,123.2,0.0,5.3,8.3,95777b683ee4cf6f65878491e7e676146efb5edf44734fad0cebbfa29f3bc41c,
75519778-3b4f-4101-843e-aeef6ac93898,b7b1217f5ead9b2dd9260f4854a40b0eed8eb30c17c01d066671cecafd1f1ece,False,/home/rjdscott/Documents/projects/portfolio-simulator/results/75519778-3b4f-4101-843e-aeef6ac93898.json,2026-02-20 03:53:45.949278,2026-02-20 03:09:56.612979,2_storage_opt,fortran_openmp,fortran,parquet_wide_uncompressed,1000,15,100,42,5,True,False,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,0.64.0,,8d5314a,,,0.006223,0.005916,0.006987,0.004489,0.001428,160694.2,124.8,0.0,20.0,26.3,4fe06be5c2b05af9a74ece19f00a4f3d8c3c0d6c9ea9bc2caff47ee56c535976,
b1fcf3fc-04c7-4c34-93e2-c6e8a63d17dd,ca68cd0730fa55b072e26b9dbf19918af86e749a5571e54751f6656234e6f231,False,/home/rjdscott/Documents/projects/portfolio-simulator/results/b1fcf3fc-04c7-4c34-93e2-c6e8a63d17dd.json,2026-02-20 03:53:46.397520,2026-02-20 03:09:56.972966,2_storage_opt,fortran_openmp,fortran,parquet_wide_uncompressed,100000,15,100,42,5,True,False,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,0.64.0,,8d5314a,,,0.128365,0.127482,0.151204,0.004665,0.11308,779028.55,326.8,0.0,64.0,100.0,f745ea7226f80ed2686ed1f434953c424c56102bd087331ffda32d710bc3bf71,
550ee20d-1a70-4828-b208-1860b7e107f8,02ef36557b00945e669a576b4c3d0219aed73718081355899a2324bb1e9a9a18,False,/home/rjdscott/Documents/projects/portfolio-simulator/results/550ee20d-1a70-4828-b208-1860b7e107f8.json,2026-02-20 03:53:45.653713,2026-02-20 03:09:58.388599,2_storage_opt,fortran_openmp,fortran,parquet_wide_uncompressed,1000000,15,100,42,5,True,False,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,0.64.0,,8d5314a,,,1.207679,1.141999,1.240785,0.004961,1.159685,828034.6,2426.9,0.0,71.3,100.0,54de0ab64d57d1d69b69b3fd3df028dabe22c78d4db5e8b8d5d2fd6d1c58ae02,
4727c4ed-4a36-49ee-9566-b409bb93825a,86310d04d7a238da7a764d3ca5b49941ce1ec502a43133e97fe6a9b0e8dac3de,False,/home/rjdscott/Documents/projects/portfolio-simulator/results/4727c4ed-4a36-49ee-9566-b409bb93825a.json,2026-02-20 03:53:45.598249,2026-02-20 01:34:18.296807,2_storage_opt,go_goroutines,go,parquet_wide_uncompressed,100,15,100,42,5,True,False,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,0.64.0,,dd9bcae,,,0.004814,0.004586,0.005868,0.003608,0.000934,20772.75,125.5,0.0,11.1,23.5,fc3cc1d5062a09214a722be1999bed958bd89ce522195a199941cd98b4d51853,
e6524a8a-5d33-407c-9adf-fb7a55fa5a3c,87ff4ae2601f8d299ce7f4aaa2988c872d07999414fe5768ad8d99e6867eab51,False,/home/rjdscott/Documents/projects/portfolio-simulator/results/e6524a8a-5d33-407c-9adf-fb7a55fa5a3c.json,2026-02-20 03:53:46.858627,2026-02-20 01:34:18.657875,2_storage_opt,go_goroutines,go,parquet_wide_uncompressed,1000,15,100,42,5,True,False,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,0.64.0,,dd9bcae,,,0.008454,0.008041,0.008673,0.004027,0.003899,118287.2,127.1,0.0,32.0,37.5,106fbff5b8d6d0b3cd29e8f2adddbd3f532bf063b8e5c806786ee5989164a14f,
4514142f-05c0-4e04-b8a4-8cea9d5d50c0,75d11c91d2b827fdc1ca42a9af3db0985d8329c645b47380e189a9f9e7ba049b,False,/home/rjdscott/Documents/projects/portfolio-simulator/results/4514142f-05c0-4e04-b8a4-8cea9d5d50c0.json,2026-02-20 03:53:45.562231,2026-02-20 01:34:19.030033,2_storage_opt,go_goroutines,go,parquet_wide_uncompressed,100000,15,100,42,5,True,False,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,0.64.0,,dd9bcae,,,0.308707,0.305667,0.315125,0.004534,0.293597,323931.75,328.4,0.0,77.5,100.0,b5f5591719facca0f3c79c56bc8c7972140af38b9b6358b5b5e827e112bc8dd9,
bf898763-504a-43bb-81f3-1aec32c30902,816a722535e5903d2683016dfcd7ac8e46feee0d5854d7a8a26c59f50b258d5d,False,/home/rjdscott/Documents/projects/portfolio-simulator/results/bf898763-504a-43bb-81f3-1aec32c30902.json,2026-02-20 03:53:46.557990,2026-02-20 01:34:21.516873,2_storage_opt,go_goroutines,go,parquet_wide_uncompressed,1000000,15,100,42,5,True,False,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,0.64.0,,dd9bcae,,,2.901662,2.844475,2.914169,0.004939,2.793591,344630.08,2808.2,0.0,82.1,100.0,d5bf751f0ecae8cca3629f302c822dc95146c15c7051a89e791b74f4c89e2656,
7fb6f930-8fec-4c17-be3a-5d6373e0a97b,7ecc1a795bcff37267293396d9fab3fa1123e81104c2ee353d79a29f09ed61a0,False,/home/rjdscott/Documents/projects/portfolio-simulator/results/7fb6f930-8fec-4c17-be3a-5d6373e0a97b.json,2026-02-20 03:53:46.056762,2026-02-20 01:35:04.753304,2_storage_opt,java_vector_api,java,parquet_wide_uncompressed,100,15,100,42,5,True,False,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,0.64.0,,dd9bcae,,,0.005106,0.004674,0.006251,0.003756,0.00097,19584.8,454.7,0.0,5.3,29.4,334fc40cb7b8f7123b8257fd39362a72cadee50f4a29db3b0fcc5f614c097400,
6a10d7e3-d35e-4761-b97f-cf5efab660eb,6754c7d9b6a6ea7498588df074b1d7d1026accd53460d792970f9234794a8092,False,/home/rjdscott/Documents/projects/portfolio-simulator/results/6a10d7e3-d35e-4761-b97f-cf5efab660eb.json,2026-02-20 03:53:45.852893,2026-02-20 01:35:05.628488,2_storage_opt,java_vector_api,java,parquet_wide_uncompressed,1000,15,100,42,5,True,False,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,0.64.0,,dd9bcae,,,0.008512,0.006454,0.010096,0.004711,0.002716,117481.2,382.5,0.0,23.1,38.1,e7056acc2e109f8d19326ce0e49fd76f0f47d4f0f002d36ea3c50aa8dd9b90d7,
