run_id,timestamp,phase,implementation,language,storage_format,portfolio_scale,portfolio_k,universe_size,seed,repetitions,warmup,drop_cache_attempted,median_total_sec,p10_total_sec,p90_total_sec,median_load_sec,median_compute_sec,throughput,peak_ram_mb,mean_io_read_mb,mean_cpu_pct,peak_cpu_pct,cpu_model,cpu_logical_cores,cpu_physical_cores,ram_gb,gpu_model,python_version,numpy_version,pyarrow_version,blas,git_sha,result_checksum
f77943ca-c664-4f20-944f-760ad9ab6250,2026-02-19T13:45:43.669087+00:00,2_storage_opt,cpp_openmp,cpp,parquet_wide_uncompressed,100,15,100,42,5,True,False,0.004538,0.004408,0.004596,0.004027,0.000237,22036.14,127.7,0.0,7.7,14.3,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,1cdbe14aecf968bd662641653b41c6e07fa6bc9473ee217d51975b7024d1b318
2e254f23-f1d0-4ae9-ae34-d05e9a91d290,2026-02-19T13:25:12.164171+00:00,2_storage_opt,cpp_openmp,cpp,parquet_wide_uncompressed,1000,15,100,42,3,True,False,0.005726,0.005572,0.006064,0.004145,0.001362,174641.98,127.3,0.0,18.7,21.1,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,01c5cc866643f8167d5d63edb8cbed39bf90c377a5bae61532e1256fdce38b3d
46370384-629d-40cb-b2ac-a6322a72de32,2026-02-19T13:28:32.324090+00:00,2_storage_opt,cpp_openmp,cpp,parquet_wide_uncompressed,1000,15,100,42,5,True,False,0.005259,0.004948,0.005651,0.003061,0.001928,190150.22,1021.6,0.0,26.7,33.3,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,01c5cc866643f8167d5d63edb8cbed39bf90c377a5bae61532e1256fdce38b3d
cd50747e-5d8b-493c-8c0c-632a49b219df,2026-02-19T13:47:58.339577+00:00,2_storage_opt,cpp_openmp,cpp,parquet_wide_uncompressed,1000,15,100,42,5,True,False,0.005252,0.004838,0.006399,0.003168,0.001586,190403.66,1030.4,0.0,23.1,26.7,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,01c5cc866643f8167d5d63edb8cbed39bf90c377a5bae61532e1256fdce38b3d
dfca2e43-95be-4f7a-b9b3-c45b09c316f9,2026-02-19T13:45:43.998691+00:00,2_storage_opt,cpp_openmp,cpp,parquet_wide_uncompressed,1000,15,100,42,5,True,False,0.005757,0.005451,0.006735,0.004088,0.001567,173701.58,128.5,0.0,16.7,26.3,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,01c5cc866643f8167d5d63edb8cbed39bf90c377a5bae61532e1256fdce38b3d
edde06ab-82bc-43b7-a76d-9924de0d8bdd,2026-02-19T13:18:35.335454+00:00,2_storage_opt,cpp_openmp,cpp,parquet_wide_uncompressed,1000,15,100,42,1,True,False,0.008482,0.008482,0.008482,0.005137,0.003018,117896.72,125.4,0.0,28.0,28.0,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,9ebc0f16bf65d25efbf51e87a22a7f1b3ae9ee3c0018c4f8382fd14fe0bb7a83
2ce70b74-7986-49a6-a251-590b40930ff7,2026-02-19T13:25:12.508290+00:00,2_storage_opt,cpp_openmp,cpp,parquet_wide_uncompressed,100000,15,100,42,3,True,False,0.126057,0.125617,0.128215,0.004853,0.111191,793291.92,328.5,0.0,68.1,100.0,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,193103e8ff841519a2206da8dfb6c8d65ca1cfbe2a479b31bbd38d5c3bfd3566
4fd1c706-4523-46cb-be12-eb6266f2ab50,2026-02-19T13:45:44.339213+00:00,2_storage_opt,cpp_openmp,cpp,parquet_wide_uncompressed,100000,15,100,42,5,True,False,0.126532,0.125906,0.138497,0.004667,0.111528,790313.91,330.5,0.0,64.4,100.0,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,193103e8ff841519a2206da8dfb6c8d65ca1cfbe2a479b31bbd38d5c3bfd3566
6cbe5d53-bc52-4f89-a2f8-88c1a495bd70,2026-02-19T13:47:58.405092+00:00,2_storage_opt,cpp_openmp,cpp,parquet_wide_uncompressed,100000,15,100,42,5,True,False,0.106735,0.106602,0.115232,0.004811,0.097408,936899.8,1031.6,0.0,81.7,100.0,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,193103e8ff841519a2206da8dfb6c8d65ca1cfbe2a479b31bbd38d5c3bfd3566
bd315871-6dc2-4785-8fff-1b334e2a6a93,2026-02-19T13:28:32.384810+00:00,2_storage_opt,cpp_openmp,cpp,parquet_wide_uncompressed,100000,15,100,42,5,True,False,0.10809,0.107834,0.118599,0.00462,0.098999,925154.96,1023.3,0.0,80.7,100.0,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,193103e8ff841519a2206da8dfb6c8d65ca1cfbe2a479b31bbd38d5c3bfd3566
