run_id,implementation,storage_format,portfolio_scale,phase,rep,elapsed_sec,load_prices_sec,align_weights_sec,compute_metrics_sec,total_sec,io_read_mb,io_read_syscalls,cpu_mean_pct,cpu_peak_pct,cpu_p90_pct,rss_peak_mb,rss_mean_mb,cache_dropped
bd315871-6dc2-4785-8fff-1b334e2a6a93,cpp_openmp,parquet_wide_uncompressed,100000,3_compute_opt,0,0.107948,0.005364,0.004553,0.097835,0.107752,0.0,17,85.1,100.0,100.0,1022.4,1022.4,False
bd315871-6dc2-4785-8fff-1b334e2a6a93,cpp_openmp,parquet_wide_uncompressed,100000,3_compute_opt,1,0.124719,0.00462,0.004493,0.115395,0.124508,0.0,17,77.4,95.8,95.2,1022.7,1022.7,False
bd315871-6dc2-4785-8fff-1b334e2a6a93,cpp_openmp,parquet_wide_uncompressed,100000,3_compute_opt,2,0.108272,0.004944,0.004504,0.098642,0.10808999999999999,0.0,17,80.7,100.0,100.0,1023.2,1023.2,False
bd315871-6dc2-4785-8fff-1b334e2a6a93,cpp_openmp,parquet_wide_uncompressed,100000,3_compute_opt,3,0.108129,0.00436,0.004597,0.098999,0.107956,0.0,17,84.0,100.0,100.0,1023.2,1023.2,False
bd315871-6dc2-4785-8fff-1b334e2a6a93,cpp_openmp,parquet_wide_uncompressed,100000,3_compute_opt,4,0.109916,0.004274,0.004536,0.100926,0.109736,0.0,17,78.3,100.0,100.0,1023.3,1023.3,False
bdd99af0-4b22-4d0f-aefd-716ef4229264,rust_rayon,parquet_wide_uncompressed,100,3_compute_opt,0,0.005502,0.004667,0.000278,0.000361,0.005306,0.0,10,22.2,22.2,22.2,124.8,124.8,False
bdd99af0-4b22-4d0f-aefd-716ef4229264,rust_rayon,parquet_wide_uncompressed,100,3_compute_opt,1,0.004595,0.003862,0.000227,0.000399,0.004488,0.0,9,21.4,21.4,21.4,125.8,125.8,False
bdd99af0-4b22-4d0f-aefd-716ef4229264,rust_rayon,parquet_wide_uncompressed,100,3_compute_opt,2,0.004358,0.003656,0.000231,0.000352,0.004239,0.0,9,8.3,8.3,8.3,126.4,126.4,False
bdd99af0-4b22-4d0f-aefd-716ef4229264,rust_rayon,parquet_wide_uncompressed,100,3_compute_opt,3,0.00443,0.00363,0.000265,0.000398,0.004293,0.0,9,8.3,8.3,8.3,126.8,126.8,False
bdd99af0-4b22-4d0f-aefd-716ef4229264,rust_rayon,parquet_wide_uncompressed,100,3_compute_opt,4,0.006428,0.005151,0.000382,0.00062,0.0061530000000000005,0.0,9,20.0,20.0,20.0,127.2,127.2,False
bede7585-c464-4771-8836-026bc43d921d,rust_rayon,parquet_wide_uncompressed,100,3_compute_opt,0,0.00508,0.004344,0.000273,0.000318,0.004934999999999999,0.0,10,7.1,7.1,7.1,124.8,124.8,False
bede7585-c464-4771-8836-026bc43d921d,rust_rayon,parquet_wide_uncompressed,100,3_compute_opt,1,0.004314,0.003651,0.000225,0.000326,0.004202,0.0,9,15.4,15.4,15.4,126.1,126.1,False
bede7585-c464-4771-8836-026bc43d921d,rust_rayon,parquet_wide_uncompressed,100,3_compute_opt,2,0.004352,0.003696,0.000221,0.000317,0.004234,0.0,9,0.0,0.0,0.0,126.6,126.6,False
bede7585-c464-4771-8836-026bc43d921d,rust_rayon,parquet_wide_uncompressed,100,3_compute_opt,3,0.004571,0.003882,0.000227,0.000333,0.004442,0.0,9,7.7,7.7,7.7,127.2,127.2,False
bede7585-c464-4771-8836-026bc43d921d,rust_rayon,parquet_wide_uncompressed,100,3_compute_opt,4,0.005243,0.004326,0.000322,0.000439,0.005087,0.0,9,7.1,7.1,7.1,127.6,127.6,False
bf898763-504a-43bb-81f3-1aec32c30902,go_goroutines,parquet_wide_uncompressed,1000000,3_compute_opt,0,2.912728,0.005553,0.102518,2.793591,2.901662,0.0,365,80.4,100.0,100.0,2799.0,2725.1,False
bf898763-504a-43bb-81f3-1aec32c30902,go_goroutines,parquet_wide_uncompressed,1000000,3_compute_opt,1,2.926819,0.00502,0.101572,2.80867,2.9152620000000002,0.0,364,81.8,100.0,100.0,2806.7,2733.4,False
bf898763-504a-43bb-81f3-1aec32c30902,go_goroutines,parquet_wide_uncompressed,1000000,3_compute_opt,2,2.852354,0.004648,0.102268,2.733829,2.840745,0.0,358,82.1,100.0,100.0,2807.4,2732.0,False
bf898763-504a-43bb-81f3-1aec32c30902,go_goroutines,parquet_wide_uncompressed,1000000,3_compute_opt,3,2.924237,0.004939,0.102205,2.805385,2.9125289999999997,0.0,365,82.3,100.0,100.0,2807.9,2734.1,False
bf898763-504a-43bb-81f3-1aec32c30902,go_goroutines,parquet_wide_uncompressed,1000000,3_compute_opt,4,2.862296,0.004492,0.102755,2.742824,2.8500710000000002,0.0,361,83.0,100.0,100.0,2808.2,2733.2,False
c23a921c-f471-4e3f-8be9-6aa2a35fbd0f,numpy_vectorised,parquet_wide_uncompressed,1000000,2_storage_opt,0,5.628585,0.005272,0.043068,5.580053,5.628393,0.0,430,17.4,100.0,100.0,21933.8,15089.9,False
c23a921c-f471-4e3f-8be9-6aa2a35fbd0f,numpy_vectorised,parquet_wide_uncompressed,1000000,2_storage_opt,1,5.631693,0.004605,0.042835,5.584083,5.631523,0.0,429,17.2,100.0,97.1,21938.9,15068.2,False
c23a921c-f471-4e3f-8be9-6aa2a35fbd0f,numpy_vectorised,parquet_wide_uncompressed,1000000,2_storage_opt,2,5.71936,0.0056,0.043141,5.67046,5.719201,0.0,437,17.4,100.0,98.6,21939.7,15019.5,False
c3177181-001e-4e5e-bd4e-a4f377fe62b6,numba_parallel,parquet_wide_uncompressed,100000,3_compute_opt,0,0.125265,0.004093,0.010427,0.10958,0.1241,0.0,17,68.2,100.0,100.0,448.6,419.7,False
c3177181-001e-4e5e-bd4e-a4f377fe62b6,numba_parallel,parquet_wide_uncompressed,100000,3_compute_opt,1,0.118848,0.003952,0.010327,0.103521,0.1178,0.0,17,67.3,100.0,97.7,450.5,421.3,False
c3177181-001e-4e5e-bd4e-a4f377fe62b6,numba_parallel,parquet_wide_uncompressed,100000,3_compute_opt,2,0.142576,0.004494,0.010385,0.126604,0.141483,0.0,19,53.6,95.7,86.4,450.6,426.4,False
c3177181-001e-4e5e-bd4e-a4f377fe62b6,numba_parallel,parquet_wide_uncompressed,100000,3_compute_opt,3,0.119274,0.00429,0.010459,0.103396,0.118145,0.0,17,66.0,100.0,96.6,449.7,420.7,False
c3177181-001e-4e5e-bd4e-a4f377fe62b6,numba_parallel,parquet_wide_uncompressed,100000,3_compute_opt,4,0.119415,0.004375,0.010328,0.103469,0.118172,0.0,17,66.1,100.0,97.7,450.3,421.3,False
